Datas,Sud Sardegna
2022/09/10,43
2022/09/11,34
2022/09/12,58
2022/09/13,108
2022/09/14,99
2022/09/15,80
2022/09/16,74
2022/09/17,23
2022/09/18,4
2022/09/19,61
2022/09/20,91
2022/09/21,80
2022/09/22,63
2022/09/23,55
2022/09/24,33
2022/09/25,17
2022/09/26,53
2022/09/27,176
2022/09/28,107
2022/09/29,84
2022/09/30,72
2022/10/01,70
2022/10/02,42
2022/10/03,50
