Datas,Enna
2022/07/21,123
2022/07/22,121
2022/07/23,245
2022/07/24,52
2022/07/25,16
2022/07/26,278
2022/07/27,93
2022/07/28,94
2022/07/29,104
2022/07/30,151
2022/07/31,41
2022/08/01,99
2022/08/02,123
2022/08/03,82
2022/08/04,174
2022/08/05,88
2022/08/06,46
2022/08/07,36
2022/08/08,15
2022/08/09,175
2022/08/10,44
2022/08/11,44
2022/08/12,129
2022/08/13,45
2022/08/14,24
2022/08/15,11
2022/08/16,10
2022/08/17,144
2022/08/18,46
2022/08/19,37
2022/08/20,141
2022/08/21,16
2022/08/22,3
2022/08/23,125
2022/08/24,70
2022/08/25,61
2022/08/26,50
2022/08/27,49
2022/08/28,62
2022/08/29,12
2022/08/30,53
2022/08/31,57
2022/09/01,32
2022/09/02,59
2022/09/03,26
2022/09/04,14
2022/09/05,6
2022/09/06,62
2022/09/07,46
2022/09/08,26
2022/09/09,34
2022/09/10,29
2022/09/11,4
2022/09/12,7
2022/09/13,30
2022/09/14,43
2022/09/15,25
2022/09/16,25
2022/09/17,29
2022/09/18,17
2022/09/19,11
2022/09/20,19
2022/09/21,11
2022/09/22,31
2022/09/23,37
2022/09/24,14
2022/09/25,10
2022/09/26,4
2022/09/27,26
2022/09/28,27
2022/09/29,13
2022/09/30,33
2022/10/01,25
2022/10/02,4
2022/10/03,11
