Datas,La Spezia
2022/09/14,61
2022/09/15,54
2022/09/16,62
2022/09/17,55
2022/09/18,69
2022/09/19,26
2022/09/20,109
2022/09/21,90
2022/09/22,78
2022/09/23,63
2022/09/24,87
2022/09/25,61
2022/09/26,56
2022/09/27,184
2022/09/28,131
2022/09/29,142
2022/09/30,121
2022/10/01,135
2022/10/02,124
2022/10/03,52
