Datas,Rovigo
2022/09/22,111
2022/09/23,120
2022/09/24,135
2022/09/25,121
2022/09/26,58
2022/09/27,293
2022/09/28,236
2022/09/29,179
2022/09/30,188
2022/10/01,222
2022/10/02,152
2022/10/03,63
