Datas,Campobasso
2022/07/19,258
2022/07/20,316
2022/07/21,275
2022/07/22,275
2022/07/23,229
2022/07/24,257
2022/07/25,94
2022/07/26,246
2022/07/27,234
2022/07/28,218
2022/07/29,234
2022/07/30,243
2022/07/31,206
2022/08/01,67
2022/08/02,179
2022/08/03,168
2022/08/04,194
2022/08/05,173
2022/08/06,70
2022/08/07,196
2022/08/08,83
2022/08/09,125
2022/08/10,166
2022/08/11,158
2022/08/12,133
2022/08/13,99
2022/08/14,115
2022/08/15,78
2022/08/16,54
2022/08/17,111
2022/08/18,147
2022/08/19,116
2022/08/20,129
2022/08/21,173
2022/08/22,73
2022/08/23,128
2022/08/24,164
2022/08/25,139
2022/08/26,103
2022/08/27,100
2022/08/28,109
2022/08/29,51
2022/08/30,83
2022/08/31,131
2022/09/01,116
2022/09/02,105
2022/09/03,79
2022/09/04,65
2022/09/05,46
2022/09/06,85
2022/09/07,97
2022/09/08,76
2022/09/09,76
2022/09/10,56
2022/09/11,76
2022/09/12,27
2022/09/13,59
2022/09/14,94
2022/09/15,46
2022/09/16,53
2022/09/17,52
2022/09/18,59
2022/09/19,33
2022/09/20,72
2022/09/21,55
2022/09/22,92
2022/09/23,80
2022/09/24,74
2022/09/25,65
2022/09/26,51
2022/09/27,82
2022/09/28,96
2022/09/29,118
2022/09/30,107
2022/10/01,99
2022/10/02,100
2022/10/03,81
