Datas,Seul
04/16/2022,18113
04/17/2022,14801
04/18/2022,7342
04/19/2022,21814
04/20/2022,18318
04/21/2022,15187
04/22/2022,13188
04/23/2022,12343
04/24/2022,10373
04/25/2022,4760
04/26/2022,13555
04/27/2022,11515
04/28/2022,9106
04/29/2022,7725
04/30/2022,6453
05/01/2022,5460
05/02/2022,2649
05/03/2022,8708
05/04/2022,7435
05/05/2022,6644
05/06/2022,3593
05/07/2022,6641
05/08/2022,5975
05/09/2022,2714
05/10/2022,8138
05/11/2022,6201
05/12/2022,5694
05/13/2022,5173
05/14/2022,4764
05/15/2022,4024
05/16/2022,1683
05/17/2022,5884
05/18/2022,5042
05/19/2022,4557
05/20/2022,4110
05/21/2022,3586
05/22/2022,2902
05/23/2022,1213
05/24/2022,4271
05/25/2022,3581
05/26/2022,2786
05/27/2022,3030
05/28/2022,2275
05/29/2022,2016
05/30/2022,1120
05/31/2022,3337
06/01/2022,2924
06/02/2022,1821
06/03/2022,2441
06/04/2022,2250
06/05/2022,1718
06/06/2022,738
06/07/2022,952
06/08/2022,2626
06/09/2022,2008
06/10/2022,1536
06/11/2022,1382
06/12/2022,1158
06/13/2022,660
06/14/2022,1762
06/15/2022,1688
06/16/2022,1546
06/17/2022,1277
06/18/2022,1234
06/19/2022,1107
06/20/2022,719
06/21/2022,2041
06/22/2022,1772
06/23/2022,1578
06/24/2022,1604
06/25/2022,1548
06/26/2022,1307
06/27/2022,598
06/28/2022,2472
06/29/2022,2472
06/30/2022,2280
07/01/2022,2339
07/02/2022,2776
07/03/2022,2432
07/04/2022,1158
07/05/2022,4772
07/06/2022,4762
07/07/2022,4575
07/08/2022,4600
07/09/2022,4893
07/10/2022,5235
07/11/2022,2616
07/12/2022,9405
07/13/2022,9358
07/14/2022,9648
07/15/2022,8943
07/16/2022,9449
07/17/2022,8561
07/18/2022,4892
07/19/2022,18029
07/20/2022,17190
07/21/2022,16655
07/22/2022,15367
07/23/2022,14819
07/24/2022,13796
07/25/2022,5961
07/26/2022,23051
07/27/2022,20071
07/28/2022,18149
07/29/2022,17499
07/30/2022,16543
07/31/2022,14136
08/01/2022,7317
08/02/2022,24601
08/03/2022,23006
08/04/2022,20218
08/05/2022,20789
08/06/2022,20148
08/07/2022,18355
08/08/2022,7857
08/09/2022,29470
08/10/2022,26049
08/11/2022,24500
08/12/2022,22820
08/13/2022,21847
08/14/2022,19579
08/15/2022,8241
08/16/2022,13053
08/17/2022,32511
08/18/2022,28359
08/19/2022,21025
08/20/2022,19963
08/21/2022,16736
08/22/2022,7391
08/23/2022,25671
08/24/2022,20566
08/25/2022,17716
08/26/2022,15749
08/27/2022,14581
08/28/2022,13047
08/29/2022,5753
08/30/2022,20410
08/31/2022,15904
09/01/2022,13321
09/02/2022,15562
09/03/2022,13882
09/04/2022,11931
09/05/2022,5317
09/06/2022,18775
09/07/2022,14531
09/08/2022,13065
09/09/2022,12310
09/10/2022,6076
09/11/2022,4803
09/12/2022,6287
09/13/2022,9546
09/14/2022,17377
09/15/2022,11815
09/16/2022,9219
09/17/2022,7656
09/18/2022,5965
09/19/2022,3198
09/20/2022,9728
09/21/2022,7353
09/22/2022,6149
09/23/2022,5619
09/24/2022,5644
09/25/2022,4882
09/26/2022,2333
09/27/2022,8549
09/28/2022,7117
09/29/2022,6263
09/30/2022,5792
10/01/2022,5581
10/02/2022,4786
10/03/2022,2023
