Datas,Nord
2022/03/15,4313.0
2022/03/16,4776.0
2022/03/17,4095.0
2022/03/18,4044.0
2022/03/19,3569.0
2022/03/20,1631.0
2022/03/21,8169.0
2022/03/22,5932.0
2022/03/23,6576.0
2022/03/24,6143.0
2022/03/25,5975.0
2022/03/26,4452.0
2022/03/27,1814.0
2022/03/28,9201.0
2022/03/29,6864.0
2022/03/30,6674.0
2022/03/31,5876.0
2022/04/01,5185.0
2022/04/02,4236.0
2022/04/03,1694.0
2022/04/04,8502.0
2022/04/05,6091.0
2022/04/06,6474.0
2022/04/07,5734.0
2022/04/08,5213.0
2022/04/09,3929.0
2022/04/10,1337.0
2022/04/11,6662.0
2022/04/12,4801.0
2022/04/13,4875.0
2022/04/14,4409.0
2022/04/15,4148.0
2022/04/16,2798.0
2022/04/17,935.0
2022/04/18,1207.0
2022/04/19,5158.0
2022/04/20,3098.0
2022/04/21,2856.0
2022/04/22,2768.0
2022/04/23,1899.0
2022/04/24,739.0
2022/04/25,3483.0
2022/04/26,2254.0
2022/04/27,1971.0
2022/04/28,1662.0
2022/04/29,1572.0
2022/04/30,1204.0
2022/05/01,404.0
2022/05/02,2544.0
2022/05/03,1718.0
2022/05/04,1723.0
2022/05/05,1657.0
2022/05/06,1491.0
2022/05/07,1283.0
2022/05/08,472.0
2022/05/09,2404.0
2022/05/10,1537.0
2022/05/11,1481.0
2022/05/12,1229.0
2022/05/13,1168.0
2022/05/14,861.0
2022/05/15,305.0
2022/05/16,1616.0
2022/05/17,1182.0
2022/05/18,1040.0
2022/05/19,853.0
2022/05/20,764.0
2022/05/21,582.0
2022/05/22,232.0
2022/05/23,1095.0
2022/05/24,703.0
2022/05/25,666.0
2022/05/26,161.0
2022/05/27,799.0
2022/05/28,477.0
2022/05/29,226.0
2022/05/30,1099.0
2022/05/31,768.0
2022/06/01,745.0
2022/06/02,702.0
2022/06/03,749.0
2022/06/04,598.0
2022/06/05,238.0
2022/06/06,426.0
2022/06/07,1648.0
2022/06/08,1164.0
2022/06/09,1038.0
2022/06/10,1118.0
2022/06/11,858.0
2022/06/12,353.0
2022/06/13,2060.0
2022/06/14,1529.0
2022/06/15,1631.0
2022/06/16,1526.0
2022/06/17,1555.0
2022/06/18,1238.0
2022/06/19,481.0
2022/06/20,2919.0
2022/06/21,2270.0
2022/06/22,2509.0
2022/06/23,2518.0
2022/06/24,2610.0
2022/06/25,2055.0
2022/06/26,930.0
2022/06/27,4787.0
2022/06/28,3920.0
2022/06/29,4309.0
2022/06/30,4046.0
2022/07/01,3877.0
2022/07/02,2866.0
2022/07/03,1255.0
2022/07/04,6935.0
2022/07/05,4963.0
2022/07/06,5634.0
2022/07/07,5038.0
2022/07/08,4535.0
2022/07/09,3575.0
2022/07/10,1253.0
2022/07/11,7004.0
2022/07/12,4545.0
2022/07/13,4280.0
2022/07/14,1064.0
2022/07/15,4501.0
2022/07/16,2509.0
2022/07/17,907.0
2022/07/18,4853.0
2022/07/19,2748.0
2022/07/20,2668.0
2022/07/21,2587.0
2022/07/22,2513.0
2022/07/23,1777.0
2022/07/24,606.0
2022/07/25,3057.0
2022/07/26,2121.0
2022/07/27,1961.0
2022/07/28,1659.0
2022/07/29,1520.0
2022/07/30,1053.0
2022/07/31,456.0
2022/08/01,2122.0
2022/08/02,1438.0
2022/08/03,1085.0
2022/08/04,1098.0
2022/08/05,999.0
2022/08/06,701.0
2022/08/07,272.0
2022/08/08,1308.0
2022/08/09,885.0
2022/08/10,874.0
2022/08/11,722.0
2022/08/12,734.0
2022/08/13,503.0
2022/08/14,240.0
2022/08/15,278.0
2022/08/16,1093.0
2022/08/17,698.0
2022/08/18,635.0
