Datas,Hérault
2022/04/25,1797.0
2022/04/26,1031.0
2022/04/27,1048.0
2022/04/28,956.0
2022/04/29,807.0
2022/04/30,635.0
2022/05/01,148.0
2022/05/02,1213.0
2022/05/03,687.0
2022/05/04,678.0
2022/05/05,556.0
2022/05/06,550.0
2022/05/07,398.0
2022/05/08,88.0
2022/05/09,907.0
2022/05/10,524.0
2022/05/11,504.0
2022/05/12,436.0
2022/05/13,432.0
2022/05/14,279.0
2022/05/15,79.0
2022/05/16,699.0
2022/05/17,421.0
2022/05/18,433.0
2022/05/19,335.0
2022/05/20,338.0
2022/05/21,207.0
2022/05/22,72.0
2022/05/23,585.0
2022/05/24,308.0
2022/05/25,358.0
2022/05/26,67.0
2022/05/27,363.0
2022/05/28,217.0
2022/05/29,70.0
2022/05/30,681.0
2022/05/31,437.0
2022/06/01,430.0
2022/06/02,384.0
2022/06/03,451.0
2022/06/04,334.0
2022/06/05,97.0
2022/06/06,174.0
2022/06/07,984.0
2022/06/08,586.0
2022/06/09,688.0
2022/06/10,607.0
2022/06/11,433.0
2022/06/12,125.0
2022/06/13,1352.0
2022/06/14,916.0
2022/06/15,1021.0
2022/06/16,940.0
2022/06/17,938.0
2022/06/18,812.0
2022/06/19,220.0
2022/06/20,2133.0
2022/06/21,1604.0
2022/06/22,1594.0
2022/06/23,1519.0
2022/06/24,1533.0
2022/06/25,1241.0
2022/06/26,322.0
2022/06/27,3106.0
2022/06/28,2473.0
2022/06/29,2650.0
2022/06/30,2305.0
2022/07/01,2354.0
2022/07/02,1676.0
2022/07/03,448.0
2022/07/04,4138.0
2022/07/05,2833.0
2022/07/06,2907.0
2022/07/07,2396.0
2022/07/08,2439.0
2022/07/09,1763.0
2022/07/10,472.0
2022/07/11,4160.0
2022/07/12,2601.0
2022/07/13,2638.0
2022/07/14,439.0
2022/07/15,2964.0
2022/07/16,1519.0
2022/07/17,377.0
2022/07/18,3393.0
2022/07/19,2150.0
2022/07/20,1871.0
2022/07/21,1740.0
2022/07/22,1522.0
2022/07/23,1119.0
2022/07/24,270.0
2022/07/25,2155.0
2022/07/26,1205.0
2022/07/27,1117.0
2022/07/28,1017.0
2022/07/29,913.0
2022/07/30,647.0
2022/07/31,168.0
2022/08/01,1301.0
2022/08/02,833.0
2022/08/03,699.0
2022/08/04,647.0
2022/08/05,660.0
2022/08/06,420.0
2022/08/07,109.0
2022/08/08,924.0
2022/08/09,628.0
2022/08/10,538.0
2022/08/11,504.0
2022/08/12,547.0
2022/08/13,390.0
2022/08/14,104.0
2022/08/15,160.0
2022/08/16,918.0
2022/08/17,469.0
2022/08/18,524.0
2022/08/19,503.0
2022/08/20,341.0
2022/08/21,70.0
2022/08/22,688.0
2022/08/23,502.0
2022/08/24,471.0
2022/08/25,500.0
2022/08/26,444.0
2022/08/27,292.0
2022/08/28,67.0
2022/08/29,634.0
2022/08/30,415.0
2022/08/31,371.0
2022/09/01,388.0
2022/09/02,324.0
2022/09/03,240.0
2022/09/04,58.0
2022/09/05,489.0
2022/09/06,309.0
2022/09/07,341.0
2022/09/08,302.0
2022/09/09,304.0
2022/09/10,196.0
2022/09/11,73.0
2022/09/12,624.0
2022/09/13,372.0
2022/09/14,418.0
2022/09/15,391.0
2022/09/16,364.0
2022/09/17,248.0
2022/09/18,66.0
2022/09/19,647.0
2022/09/20,392.0
2022/09/21,398.0
2022/09/22,420.0
2022/09/23,440.0
2022/09/24,349.0
2022/09/25,90.0
2022/09/26,888.0
2022/09/27,538.0
2022/09/28,519.0
2022/09/29,495.0
2022/09/30,501.0
2022/10/01,373.0
2022/10/02,95.0
2022/10/03,1040.0
2022/10/04,626.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
