Datas,Marne
2022/01/17,4475.0
2022/01/18,3421.0
2022/01/19,3264.0
2022/01/20,2970.0
2022/01/21,2891.0
2022/01/22,2126.0
2022/01/23,586.0
2022/01/24,4606.0
2022/01/25,2881.0
2022/01/26,2827.0
2022/01/27,2614.0
2022/01/28,2426.0
2022/01/29,1845.0
2022/01/30,546.0
2022/01/31,3470.0
2022/02/01,2115.0
2022/02/02,2116.0
2022/02/03,1714.0
2022/02/04,1506.0
2022/02/05,1047.0
2022/02/06,216.0
2022/02/07,1683.0
2022/02/08,1021.0
2022/02/09,969.0
2022/02/10,832.0
2022/02/11,732.0
2022/02/12,673.0
2022/02/13,165.0
2022/02/14,1078.0
2022/02/15,671.0
2022/02/16,643.0
2022/02/17,567.0
2022/02/18,503.0
2022/02/19,468.0
2022/02/20,112.0
2022/02/21,811.0
2022/02/22,524.0
2022/02/23,525.0
2022/02/24,475.0
2022/02/25,424.0
2022/02/26,355.0
2022/02/27,140.0
2022/02/28,832.0
2022/03/01,474.0
2022/03/02,538.0
2022/03/03,520.0
2022/03/04,477.0
2022/03/05,381.0
2022/03/06,73.0
2022/03/07,932.0
2022/03/08,640.0
2022/03/09,698.0
2022/03/10,665.0
2022/03/11,643.0
2022/03/12,486.0
2022/03/13,121.0
2022/03/14,1135.0
2022/03/15,788.0
2022/03/16,846.0
2022/03/17,787.0
2022/03/18,803.0
2022/03/19,631.0
2022/03/20,119.0
2022/03/21,1606.0
2022/03/22,1198.0
2022/03/23,1265.0
2022/03/24,1339.0
2022/03/25,1192.0
2022/03/26,968.0
2022/03/27,178.0
2022/03/28,2231.0
2022/03/29,1570.0
2022/03/30,1578.0
2022/03/31,1360.0
2022/04/01,1207.0
2022/04/02,927.0
2022/04/03,171.0
2022/04/04,2124.0
2022/04/05,1497.0
2022/04/06,1462.0
2022/04/07,1410.0
2022/04/08,1330.0
2022/04/09,940.0
2022/04/10,132.0
2022/04/11,1633.0
2022/04/12,1122.0
2022/04/13,1164.0
2022/04/14,1008.0
2022/04/15,946.0
2022/04/16,682.0
2022/04/17,120.0
2022/04/18,161.0
2022/04/19,1355.0
2022/04/20,790.0
2022/04/21,729.0
2022/04/22,619.0
2022/04/23,509.0
2022/04/24,74.0
2022/04/25,933.0
2022/04/26,625.0
2022/04/27,493.0
2022/04/28,412.0
2022/04/29,435.0
2022/04/30,310.0
2022/05/01,34.0
2022/05/02,714.0
2022/05/03,456.0
2022/05/04,435.0
2022/05/05,378.0
2022/05/06,402.0
2022/05/07,307.0
2022/05/08,43.0
2022/05/09,616.0
2022/05/10,393.0
2022/05/11,367.0
2022/05/12,326.0
2022/05/13,335.0
2022/05/14,196.0
2022/05/15,34.0
2022/05/16,435.0
2022/05/17,270.0
2022/05/18,244.0
2022/05/19,207.0
2022/05/20,226.0
2022/05/21,138.0
2022/05/22,15.0
2022/05/23,246.0
2022/05/24,166.0
2022/05/25,138.0
