Datas,Seine-Maritime
2022/09/17,487.0
2022/09/18,55.0
2022/09/19,1269.0
2022/09/20,881.0
2022/09/21,917.0
2022/09/22,856.0
2022/09/23,825.0
2022/09/24,648.0
2022/09/25,96.0
2022/09/26,1651.0
2022/09/27,1133.0
2022/09/28,1080.0
2022/09/29,1022.0
2022/09/30,1068.0
2022/10/01,826.0
2022/10/02,122.0
2022/10/03,1907.0
2022/10/04,1227.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
