Datas,Pas-de-Calais
2022/08/16,721.0
2022/08/17,433.0
2022/08/18,393.0
2022/08/19,419.0
2022/08/20,212.0
2022/08/21,75.0
2022/08/22,571.0
2022/08/23,374.0
2022/08/24,367.0
2022/08/25,350.0
2022/08/26,346.0
2022/08/27,221.0
2022/08/28,82.0
2022/08/29,465.0
2022/08/30,327.0
2022/08/31,332.0
2022/09/01,279.0
2022/09/02,270.0
2022/09/03,268.0
2022/09/04,65.0
2022/09/05,516.0
2022/09/06,441.0
2022/09/07,447.0
2022/09/08,421.0
2022/09/09,448.0
2022/09/10,339.0
2022/09/11,110.0
2022/09/12,926.0
2022/09/13,743.0
2022/09/14,778.0
2022/09/15,693.0
2022/09/16,665.0
2022/09/17,478.0
2022/09/18,168.0
2022/09/19,1304.0
2022/09/20,883.0
2022/09/21,949.0
2022/09/22,932.0
2022/09/23,875.0
2022/09/24,672.0
2022/09/25,167.0
2022/09/26,1556.0
2022/09/27,1062.0
2022/09/28,1126.0
2022/09/29,1032.0
2022/09/30,868.0
2022/10/01,761.0
2022/10/02,171.0
2022/10/03,1758.0
2022/10/04,1159.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
