Datas,Haute-Saône
2022/07/15,453.0
2022/07/16,202.0
2022/07/17,27.0
2022/07/18,518.0
2022/07/19,304.0
2022/07/20,285.0
2022/07/21,238.0
2022/07/22,284.0
2022/07/23,172.0
2022/07/24,26.0
2022/07/25,319.0
2022/07/26,199.0
2022/07/27,208.0
2022/07/28,158.0
2022/07/29,118.0
2022/07/30,92.0
2022/07/31,12.0
2022/08/01,206.0
2022/08/02,129.0
2022/08/03,124.0
2022/08/04,99.0
2022/08/05,117.0
2022/08/06,54.0
2022/08/07,15.0
2022/08/08,148.0
2022/08/09,109.0
2022/08/10,95.0
2022/08/11,92.0
2022/08/12,102.0
2022/08/13,45.0
2022/08/14,14.0
2022/08/15,26.0
2022/08/16,148.0
2022/08/17,79.0
2022/08/18,101.0
2022/08/19,66.0
2022/08/20,66.0
2022/08/21,11.0
2022/08/22,112.0
2022/08/23,71.0
2022/08/24,53.0
2022/08/25,64.0
2022/08/26,55.0
2022/08/27,36.0
2022/08/28,11.0
2022/08/29,109.0
2022/08/30,54.0
2022/08/31,44.0
2022/09/01,65.0
2022/09/02,69.0
2022/09/03,43.0
2022/09/04,11.0
2022/09/05,96.0
2022/09/06,77.0
2022/09/07,87.0
2022/09/08,96.0
2022/09/09,91.0
2022/09/10,81.0
2022/09/11,13.0
2022/09/12,264.0
2022/09/13,202.0
2022/09/14,157.0
2022/09/15,145.0
2022/09/16,149.0
2022/09/17,125.0
2022/09/18,12.0
2022/09/19,285.0
2022/09/20,196.0
2022/09/21,201.0
2022/09/22,208.0
2022/09/23,281.0
2022/09/24,180.0
2022/09/25,36.0
2022/09/26,470.0
2022/09/27,314.0
2022/09/28,296.0
2022/09/29,302.0
2022/09/30,266.0
2022/10/01,232.0
2022/10/02,37.0
2022/10/03,535.0
2022/10/04,320.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
