Datas,Lot-et-Garonne
2022/04/29,170.0
2022/04/30,135.0
2022/05/01,15.0
2022/05/02,299.0
2022/05/03,172.0
2022/05/04,153.0
2022/05/05,122.0
2022/05/06,114.0
2022/05/07,91.0
2022/05/08,27.0
2022/05/09,182.0
2022/05/10,144.0
2022/05/11,108.0
2022/05/12,92.0
2022/05/13,123.0
2022/05/14,72.0
2022/05/15,21.0
2022/05/16,171.0
2022/05/17,89.0
2022/05/18,71.0
2022/05/19,100.0
2022/05/20,53.0
2022/05/21,70.0
2022/05/22,6.0
2022/05/23,97.0
2022/05/24,57.0
2022/05/25,62.0
2022/05/26,6.0
2022/05/27,75.0
2022/05/28,56.0
2022/05/29,8.0
2022/05/30,89.0
2022/05/31,53.0
2022/06/01,68.0
2022/06/02,83.0
2022/06/03,72.0
2022/06/04,59.0
2022/06/05,9.0
2022/06/06,22.0
2022/06/07,169.0
2022/06/08,115.0
2022/06/09,89.0
2022/06/10,100.0
2022/06/11,74.0
2022/06/12,21.0
2022/06/13,208.0
2022/06/14,160.0
2022/06/15,182.0
2022/06/16,169.0
2022/06/17,143.0
2022/06/18,116.0
2022/06/19,22.0
2022/06/20,288.0
2022/06/21,189.0
2022/06/22,261.0
2022/06/23,223.0
2022/06/24,226.0
2022/06/25,182.0
2022/06/26,52.0
2022/06/27,476.0
2022/06/28,433.0
2022/06/29,452.0
2022/06/30,497.0
2022/07/01,412.0
2022/07/02,304.0
2022/07/03,49.0
2022/07/04,953.0
2022/07/05,748.0
2022/07/06,861.0
2022/07/07,732.0
2022/07/08,682.0
2022/07/09,470.0
2022/07/10,102.0
2022/07/11,955.0
2022/07/12,711.0
2022/07/13,635.0
2022/07/14,85.0
2022/07/15,714.0
2022/07/16,354.0
2022/07/17,60.0
2022/07/18,745.0
2022/07/19,482.0
2022/07/20,429.0
2022/07/21,382.0
2022/07/22,325.0
2022/07/23,210.0
2022/07/24,33.0
2022/07/25,434.0
2022/07/26,288.0
2022/07/27,213.0
2022/07/28,211.0
2022/07/29,172.0
2022/07/30,142.0
2022/07/31,22.0
2022/08/01,214.0
2022/08/02,160.0
2022/08/03,139.0
2022/08/04,148.0
2022/08/05,125.0
2022/08/06,110.0
2022/08/07,13.0
2022/08/08,158.0
2022/08/09,120.0
2022/08/10,114.0
2022/08/11,95.0
2022/08/12,104.0
2022/08/13,73.0
2022/08/14,15.0
2022/08/15,18.0
2022/08/16,198.0
2022/08/17,105.0
2022/08/18,80.0
2022/08/19,97.0
2022/08/20,66.0
2022/08/21,10.0
2022/08/22,143.0
2022/08/23,77.0
2022/08/24,90.0
2022/08/25,74.0
2022/08/26,87.0
2022/08/27,58.0
2022/08/28,14.0
2022/08/29,115.0
2022/08/30,67.0
2022/08/31,86.0
2022/09/01,85.0
2022/09/02,69.0
2022/09/03,59.0
2022/09/04,9.0
2022/09/05,112.0
2022/09/06,81.0
2022/09/07,82.0
2022/09/08,60.0
2022/09/09,60.0
2022/09/10,49.0
2022/09/11,9.0
2022/09/12,107.0
2022/09/13,109.0
2022/09/14,104.0
2022/09/15,93.0
2022/09/16,98.0
2022/09/17,53.0
2022/09/18,9.0
2022/09/19,129.0
2022/09/20,109.0
2022/09/21,113.0
2022/09/22,120.0
2022/09/23,122.0
2022/09/24,88.0
2022/09/25,20.0
2022/09/26,273.0
2022/09/27,137.0
2022/09/28,158.0
2022/09/29,168.0
2022/09/30,159.0
2022/10/01,112.0
2022/10/02,27.0
2022/10/03,339.0
2022/10/04,192.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
