Datas,Charente-Maritime
2022/05/19,176.0
2022/05/20,143.0
2022/05/21,88.0
2022/05/22,35.0
2022/05/23,280.0
2022/05/24,173.0
2022/05/25,196.0
2022/05/26,25.0
2022/05/27,189.0
2022/05/28,92.0
2022/05/29,34.0
2022/05/30,259.0
2022/05/31,231.0
2022/06/01,235.0
2022/06/02,210.0
2022/06/03,185.0
2022/06/04,132.0
2022/06/05,38.0
2022/06/06,65.0
2022/06/07,447.0
2022/06/08,314.0
2022/06/09,292.0
2022/06/10,246.0
2022/06/11,207.0
2022/06/12,67.0
2022/06/13,526.0
2022/06/14,391.0
2022/06/15,410.0
2022/06/16,389.0
2022/06/17,379.0
2022/06/18,297.0
2022/06/19,92.0
2022/06/20,803.0
2022/06/21,613.0
2022/06/22,685.0
2022/06/23,626.0
2022/06/24,672.0
2022/06/25,494.0
2022/06/26,157.0
2022/06/27,1366.0
2022/06/28,1040.0
2022/06/29,1202.0
2022/06/30,1235.0
2022/07/01,1218.0
2022/07/02,800.0
2022/07/03,282.0
2022/07/04,2105.0
2022/07/05,1577.0
2022/07/06,1475.0
2022/07/07,1411.0
2022/07/08,1341.0
2022/07/09,851.0
2022/07/10,239.0
2022/07/11,1850.0
2022/07/12,1125.0
2022/07/13,1087.0
2022/07/14,225.0
2022/07/15,1335.0
2022/07/16,717.0
2022/07/17,217.0
2022/07/18,1593.0
2022/07/19,1029.0
2022/07/20,942.0
2022/07/21,1001.0
2022/07/22,804.0
2022/07/23,457.0
2022/07/24,146.0
2022/07/25,1082.0
2022/07/26,647.0
2022/07/27,564.0
2022/07/28,470.0
2022/07/29,486.0
2022/07/30,257.0
2022/07/31,87.0
2022/08/01,514.0
2022/08/02,385.0
2022/08/03,344.0
2022/08/04,283.0
2022/08/05,284.0
2022/08/06,172.0
2022/08/07,66.0
2022/08/08,364.0
2022/08/09,249.0
2022/08/10,236.0
2022/08/11,232.0
2022/08/12,199.0
2022/08/13,147.0
2022/08/14,57.0
2022/08/15,76.0
2022/08/16,382.0
2022/08/17,241.0
2022/08/18,177.0
2022/08/19,211.0
2022/08/20,121.0
2022/08/21,29.0
2022/08/22,309.0
2022/08/23,217.0
2022/08/24,184.0
2022/08/25,169.0
2022/08/26,172.0
2022/08/27,108.0
2022/08/28,17.0
2022/08/29,222.0
2022/08/30,170.0
2022/08/31,158.0
2022/09/01,169.0
2022/09/02,174.0
2022/09/03,98.0
2022/09/04,30.0
2022/09/05,235.0
2022/09/06,154.0
2022/09/07,141.0
2022/09/08,153.0
2022/09/09,187.0
2022/09/10,120.0
2022/09/11,28.0
2022/09/12,370.0
2022/09/13,295.0
2022/09/14,274.0
2022/09/15,271.0
2022/09/16,266.0
2022/09/17,156.0
2022/09/18,39.0
2022/09/19,414.0
2022/09/20,321.0
2022/09/21,312.0
2022/09/22,303.0
2022/09/23,313.0
2022/09/24,238.0
2022/09/25,49.0
2022/09/26,678.0
2022/09/27,471.0
2022/09/28,476.0
2022/09/29,486.0
2022/09/30,439.0
2022/10/01,288.0
2022/10/02,84.0
2022/10/03,918.0
2022/10/04,636.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
