Datas,Loir-et-Cher
2022/07/28,201.0
2022/07/29,184.0
2022/07/30,118.0
2022/07/31,10.0
2022/08/01,242.0
2022/08/02,146.0
2022/08/03,120.0
2022/08/04,103.0
2022/08/05,103.0
2022/08/06,69.0
2022/08/07,12.0
2022/08/08,121.0
2022/08/09,100.0
2022/08/10,69.0
2022/08/11,76.0
2022/08/12,76.0
2022/08/13,55.0
2022/08/14,9.0
2022/08/15,11.0
2022/08/16,110.0
2022/08/17,55.0
2022/08/18,63.0
2022/08/19,60.0
2022/08/20,53.0
2022/08/21,5.0
2022/08/22,110.0
2022/08/23,56.0
2022/08/24,68.0
2022/08/25,62.0
2022/08/26,63.0
2022/08/27,42.0
2022/08/28,15.0
2022/08/29,112.0
2022/08/30,59.0
2022/08/31,62.0
2022/09/01,59.0
2022/09/02,73.0
2022/09/03,37.0
2022/09/04,3.0
2022/09/05,83.0
2022/09/06,52.0
2022/09/07,70.0
2022/09/08,70.0
2022/09/09,64.0
2022/09/10,51.0
2022/09/11,13.0
2022/09/12,181.0
2022/09/13,159.0
2022/09/14,132.0
2022/09/15,145.0
2022/09/16,108.0
2022/09/17,83.0
2022/09/18,15.0
2022/09/19,223.0
2022/09/20,166.0
2022/09/21,166.0
2022/09/22,173.0
2022/09/23,185.0
2022/09/24,142.0
2022/09/25,22.0
2022/09/26,362.0
2022/09/27,260.0
2022/09/28,277.0
2022/09/29,249.0
2022/09/30,244.0
2022/10/01,192.0
2022/10/02,35.0
2022/10/03,510.0
2022/10/04,339.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
