Datas,Savoie
2022/06/08,154.0
2022/06/09,162.0
2022/06/10,123.0
2022/06/11,87.0
2022/06/12,27.0
2022/06/13,298.0
2022/06/14,226.0
2022/06/15,253.0
2022/06/16,288.0
2022/06/17,241.0
2022/06/18,186.0
2022/06/19,52.0
2022/06/20,485.0
2022/06/21,328.0
2022/06/22,352.0
2022/06/23,354.0
2022/06/24,443.0
2022/06/25,266.0
2022/06/26,63.0
2022/06/27,788.0
2022/06/28,557.0
2022/06/29,680.0
2022/06/30,599.0
2022/07/01,595.0
2022/07/02,431.0
2022/07/03,92.0
2022/07/04,1165.0
2022/07/05,748.0
2022/07/06,766.0
2022/07/07,663.0
2022/07/08,629.0
2022/07/09,393.0
2022/07/10,126.0
2022/07/11,1011.0
2022/07/12,708.0
2022/07/13,698.0
2022/07/14,117.0
2022/07/15,904.0
2022/07/16,465.0
2022/07/17,124.0
2022/07/18,992.0
2022/07/19,570.0
2022/07/20,517.0
2022/07/21,457.0
2022/07/22,447.0
2022/07/23,246.0
2022/07/24,66.0
2022/07/25,633.0
2022/07/26,331.0
2022/07/27,320.0
2022/07/28,323.0
2022/07/29,223.0
2022/07/30,166.0
2022/07/31,37.0
2022/08/01,383.0
2022/08/02,238.0
2022/08/03,210.0
2022/08/04,160.0
2022/08/05,188.0
2022/08/06,112.0
2022/08/07,33.0
2022/08/08,269.0
2022/08/09,153.0
2022/08/10,134.0
2022/08/11,152.0
2022/08/12,144.0
2022/08/13,104.0
2022/08/14,21.0
2022/08/15,40.0
2022/08/16,220.0
2022/08/17,155.0
2022/08/18,117.0
2022/08/19,106.0
2022/08/20,101.0
2022/08/21,17.0
2022/08/22,188.0
2022/08/23,153.0
2022/08/24,113.0
2022/08/25,100.0
2022/08/26,85.0
2022/08/27,107.0
2022/08/28,13.0
2022/08/29,182.0
2022/08/30,135.0
2022/08/31,117.0
2022/09/01,84.0
2022/09/02,110.0
2022/09/03,72.0
2022/09/04,15.0
2022/09/05,189.0
2022/09/06,156.0
2022/09/07,144.0
2022/09/08,148.0
2022/09/09,150.0
2022/09/10,103.0
2022/09/11,27.0
2022/09/12,328.0
2022/09/13,225.0
2022/09/14,246.0
2022/09/15,202.0
2022/09/16,216.0
2022/09/17,137.0
2022/09/18,28.0
2022/09/19,360.0
2022/09/20,251.0
2022/09/21,307.0
2022/09/22,296.0
2022/09/23,297.0
2022/09/24,230.0
2022/09/25,54.0
2022/09/26,624.0
2022/09/27,428.0
2022/09/28,454.0
2022/09/29,394.0
2022/09/30,369.0
2022/10/01,321.0
2022/10/02,72.0
2022/10/03,942.0
2022/10/04,746.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
