Datas,Hauts-de-Seine
2022/01/06,9133.0
2022/01/07,8631.0
2022/01/08,6868.0
2022/01/09,2782.0
2022/01/10,12414.0
2022/01/11,8886.0
2022/01/12,9258.0
2022/01/13,8507.0
2022/01/14,8615.0
2022/01/15,7327.0
2022/01/16,3251.0
2022/01/17,12707.0
2022/01/18,9148.0
2022/01/19,9560.0
2022/01/20,8473.0
2022/01/21,7837.0
2022/01/22,6251.0
2022/01/23,2817.0
2022/01/24,10368.0
2022/01/25,6567.0
2022/01/26,6647.0
2022/01/27,5755.0
2022/01/28,5398.0
2022/01/29,4353.0
2022/01/30,1805.0
2022/01/31,6565.0
2022/02/01,4224.0
2022/02/02,4172.0
2022/02/03,3533.0
2022/02/04,3187.0
2022/02/05,2485.0
2022/02/06,875.0
2022/02/07,3652.0
2022/02/08,2360.0
2022/02/09,2264.0
2022/02/10,1936.0
2022/02/11,1786.0
2022/02/12,1409.0
2022/02/13,523.0
2022/02/14,2176.0
2022/02/15,1461.0
2022/02/16,1573.0
2022/02/17,1294.0
2022/02/18,1202.0
2022/02/19,965.0
2022/02/20,330.0
2022/02/21,1357.0
2022/02/22,985.0
2022/02/23,952.0
2022/02/24,868.0
2022/02/25,776.0
2022/02/26,690.0
2022/02/27,280.0
2022/02/28,1187.0
2022/03/01,865.0
2022/03/02,960.0
2022/03/03,781.0
2022/03/04,801.0
2022/03/05,782.0
2022/03/06,362.0
2022/03/07,1629.0
2022/03/08,1162.0
2022/03/09,1267.0
2022/03/10,1336.0
2022/03/11,1210.0
2022/03/12,1225.0
2022/03/13,438.0
2022/03/14,2572.0
2022/03/15,2017.0
2022/03/16,2346.0
2022/03/17,2255.0
2022/03/18,2238.0
2022/03/19,2202.0
2022/03/20,796.0
2022/03/21,5099.0
2022/03/22,3871.0
2022/03/23,4242.0
2022/03/24,3986.0
2022/03/25,3664.0
2022/03/26,3177.0
2022/03/27,1038.0
2022/03/28,6474.0
2022/03/29,4373.0
2022/03/30,4372.0
2022/03/31,3610.0
2022/04/01,3126.0
2022/04/02,2927.0
2022/04/03,795.0
2022/04/04,5542.0
2022/04/05,3869.0
2022/04/06,3812.0
2022/04/07,3388.0
2022/04/08,2993.0
2022/04/09,2709.0
2022/04/10,717.0
2022/04/11,4773.0
2022/04/12,3165.0
2022/04/13,2985.0
2022/04/14,2796.0
2022/04/15,2482.0
2022/04/16,1891.0
2022/04/17,475.0
2022/04/18,702.0
2022/04/19,3536.0
2022/04/20,1993.0
2022/04/21,1777.0
2022/04/22,1613.0
2022/04/23,1174.0
2022/04/24,357.0
2022/04/25,1876.0
2022/04/26,1136.0
2022/04/27,1165.0
2022/04/28,960.0
2022/04/29,905.0
2022/04/30,703.0
2022/05/01,175.0
2022/05/02,1216.0
2022/05/03,789.0
2022/05/04,662.0
2022/05/05,627.0
2022/05/06,636.0
2022/05/07,522.0
2022/05/08,159.0
2022/05/09,1024.0
2022/05/10,671.0
2022/05/11,650.0
2022/05/12,550.0
2022/05/13,568.0
2022/05/14,450.0
2022/05/15,162.0
2022/05/16,899.0
2022/05/17,598.0
2022/05/18,637.0
2022/05/19,551.0
2022/05/20,492.0
2022/05/21,403.0
2022/05/22,117.0
2022/05/23,727.0
2022/05/24,560.0
2022/05/25,570.0
2022/05/26,149.0
2022/05/27,627.0
2022/05/28,470.0
2022/05/29,148.0
2022/05/30,944.0
2022/05/31,744.0
2022/06/01,780.0
2022/06/02,747.0
2022/06/03,780.0
2022/06/04,692.0
2022/06/05,230.0
2022/06/06,573.0
2022/06/07,1802.0
2022/06/08,1300.0
2022/06/09,1290.0
2022/06/10,1272.0
2022/06/11,1047.0
2022/06/12,404.0
