Datas,Réunion
2022/07/01,453.0
2022/07/02,367.0
2022/07/03,158.0
2022/07/04,773.0
2022/07/05,554.0
2022/07/06,628.0
2022/07/07,549.0
2022/07/08,560.0
2022/07/09,405.0
2022/07/10,153.0
2022/07/11,892.0
2022/07/12,746.0
2022/07/13,712.0
2022/07/14,190.0
2022/07/15,1003.0
2022/07/16,528.0
2022/07/17,200.0
2022/07/18,1116.0
2022/07/19,917.0
2022/07/20,963.0
2022/07/21,858.0
2022/07/22,977.0
2022/07/23,652.0
2022/07/24,232.0
2022/07/25,1392.0
2022/07/26,973.0
2022/07/27,989.0
2022/07/28,906.0
2022/07/29,762.0
2022/07/30,623.0
2022/07/31,222.0
2022/08/01,1117.0
2022/08/02,871.0
2022/08/03,754.0
2022/08/04,585.0
2022/08/05,655.0
2022/08/06,468.0
2022/08/07,180.0
2022/08/08,1123.0
2022/08/09,855.0
2022/08/10,861.0
2022/08/11,794.0
2022/08/12,719.0
2022/08/13,538.0
2022/08/14,250.0
2022/08/15,324.0
2022/08/16,1375.0
2022/08/17,1096.0
2022/08/18,956.0
2022/08/19,995.0
2022/08/20,712.0
2022/08/21,283.0
2022/08/22,1644.0
2022/08/23,1213.0
2022/08/24,1212.0
2022/08/25,1078.0
2022/08/26,956.0
2022/08/27,681.0
2022/08/28,255.0
2022/08/29,1342.0
2022/08/30,866.0
2022/08/31,750.0
2022/09/01,613.0
2022/09/02,545.0
2022/09/03,371.0
2022/09/04,186.0
2022/09/05,758.0
2022/09/06,472.0
2022/09/07,414.0
2022/09/08,353.0
2022/09/09,321.0
2022/09/10,214.0
2022/09/11,68.0
2022/09/12,423.0
2022/09/13,219.0
2022/09/14,232.0
2022/09/15,175.0
2022/09/16,156.0
2022/09/17,98.0
2022/09/18,43.0
2022/09/19,199.0
2022/09/20,113.0
2022/09/21,103.0
2022/09/22,85.0
2022/09/23,73.0
2022/09/24,52.0
2022/09/25,12.0
2022/09/26,119.0
2022/09/27,58.0
2022/09/28,61.0
2022/09/29,55.0
2022/09/30,27.0
2022/10/01,33.0
2022/10/02,12.0
2022/10/03,77.0
2022/10/04,60.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
