Datas,Vaucluse
2022/08/12,210.0
2022/08/13,179.0
2022/08/14,36.0
2022/08/15,83.0
2022/08/16,382.0
2022/08/17,257.0
2022/08/18,210.0
2022/08/19,183.0
2022/08/20,125.0
2022/08/21,35.0
2022/08/22,258.0
2022/08/23,213.0
2022/08/24,175.0
2022/08/25,143.0
2022/08/26,157.0
2022/08/27,135.0
2022/08/28,27.0
2022/08/29,238.0
2022/08/30,140.0
2022/08/31,175.0
2022/09/01,134.0
2022/09/02,139.0
2022/09/03,87.0
2022/09/04,21.0
2022/09/05,210.0
2022/09/06,161.0
2022/09/07,155.0
2022/09/08,151.0
2022/09/09,156.0
2022/09/10,114.0
2022/09/11,35.0
2022/09/12,336.0
2022/09/13,254.0
2022/09/14,234.0
2022/09/15,248.0
2022/09/16,243.0
2022/09/17,168.0
2022/09/18,30.0
2022/09/19,420.0
2022/09/20,222.0
2022/09/21,271.0
2022/09/22,254.0
2022/09/23,236.0
2022/09/24,194.0
2022/09/25,47.0
2022/09/26,510.0
2022/09/27,328.0
2022/09/28,339.0
2022/09/29,326.0
2022/09/30,281.0
2022/10/01,220.0
2022/10/02,50.0
2022/10/03,633.0
2022/10/04,445.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
