Datas,Seine-Saint-Denis
2022/07/14,521.0
2022/07/15,2045.0
2022/07/16,1182.0
2022/07/17,373.0
2022/07/18,1901.0
2022/07/19,1184.0
2022/07/20,1082.0
2022/07/21,1143.0
2022/07/22,1039.0
2022/07/23,631.0
2022/07/24,187.0
2022/07/25,1172.0
2022/07/26,796.0
2022/07/27,708.0
2022/07/28,615.0
2022/07/29,550.0
2022/07/30,415.0
2022/07/31,155.0
2022/08/01,660.0
2022/08/02,442.0
2022/08/03,341.0
2022/08/04,377.0
2022/08/05,345.0
2022/08/06,227.0
2022/08/07,93.0
2022/08/08,411.0
2022/08/09,338.0
2022/08/10,296.0
2022/08/11,264.0
2022/08/12,233.0
2022/08/13,193.0
2022/08/14,90.0
2022/08/15,103.0
2022/08/16,330.0
2022/08/17,276.0
2022/08/18,252.0
2022/08/19,217.0
2022/08/20,188.0
2022/08/21,65.0
2022/08/22,318.0
2022/08/23,230.0
2022/08/24,203.0
2022/08/25,166.0
2022/08/26,191.0
2022/08/27,153.0
2022/08/28,75.0
2022/08/29,309.0
2022/08/30,215.0
2022/08/31,240.0
2022/09/01,212.0
2022/09/02,204.0
2022/09/03,168.0
2022/09/04,77.0
2022/09/05,311.0
2022/09/06,249.0
2022/09/07,219.0
2022/09/08,217.0
2022/09/09,177.0
2022/09/10,173.0
2022/09/11,75.0
2022/09/12,468.0
2022/09/13,402.0
2022/09/14,381.0
2022/09/15,381.0
2022/09/16,379.0
2022/09/17,290.0
2022/09/18,117.0
2022/09/19,627.0
2022/09/20,442.0
2022/09/21,437.0
2022/09/22,462.0
2022/09/23,494.0
2022/09/24,387.0
2022/09/25,137.0
2022/09/26,953.0
2022/09/27,670.0
2022/09/28,647.0
2022/09/29,606.0
2022/09/30,619.0
2022/10/01,540.0
2022/10/02,173.0
2022/10/03,1162.0
2022/10/04,851.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
